"element_id","sentence_id","word_count","sentiment"
1,1,13,0
2,1,18,0
3,1,9,0
4,1,6,0.408248290463863
5,1,8,0
6,1,6,0
7,1,7,0.377964473009227
8,1,14,-0.267261241912424
9,1,6,0
10,1,2,0.707106781186547
11,1,2,-1.27279220613579
12,1,2,0
13,1,7,0
14,1,5,0
15,1,7,-0.377964473009227
16,1,4,0.5
17,1,1,0
18,1,1,-1
19,1,1,0
19,2,NA,0
20,1,2,0
21,1,2,0
22,1,1,0
23,1,3,0
24,1,2,0
25,1,8,0
26,1,8,0
27,1,5,-0.447213595499958
28,1,8,-0.353553390593274
29,1,8,0
30,1,15,0
31,1,2,0
32,1,7,0
33,1,2,0
34,1,11,-0.301511344577764
35,1,3,0
36,1,10,0.316227766016838
37,1,5,-0.447213595499958
38,1,13,-0.554700196225229
39,1,3,0
40,1,3,0
41,1,2,0
42,1,8,0
43,1,2,-0.707106781186547
43,2,NA,0
44,1,11,-0.301511344577764
45,1,6,0
46,1,6,0
47,1,21,0
48,1,19,-0.229415733870562
49,1,27,0
50,1,5,0
51,1,14,-0.267261241912424
52,1,9,-0.333333333333333
53,1,9,0
54,1,28,0
55,1,27,0
56,1,8,0
57,1,13,0
58,1,36,0.5
59,1,18,0
60,1,8,0
61,1,16,0.25
62,1,4,-0.5
63,1,3,0
64,1,19,0
65,1,15,0
66,1,19,0.0458831467741123
67,1,1,0
68,1,10,0.316227766016838
69,1,11,0
70,1,9,0
71,1,11,0
72,1,19,-0.568951019998993
73,1,7,0
74,1,26,0.196116135138184
75,1,12,-0.288675134594813
76,1,3,0
77,1,6,0
78,1,43,0
79,1,17,0
80,1,8,0
81,1,14,0.267261241912424
82,1,9,0
83,1,11,-0.301511344577764
84,1,10,0
85,1,19,-0.688247201611685
85,2,NA,0
86,1,18,0
87,1,9,-0.333333333333333
88,1,14,0.801783725737273
89,1,4,0.5
90,1,6,0
90,2,NA,0
90,3,NA,0
90,4,6,0
91,1,21,0.436435780471985
92,1,1,0
93,1,11,0
93,2,2,0
94,1,15,0.258198889747161
95,1,12,0
96,1,10,0
97,1,21,0
98,1,1,-1
99,1,9,-0.333333333333333
100,1,2,0
101,1,1,0
102,1,6,0
103,1,3,0
104,1,13,0
105,1,24,0.50622788017519
106,1,2,1.27279220613579
107,1,3,0
108,1,6,0
109,1,6,0
110,1,9,0
111,1,10,-0.316227766016838
112,1,5,0.447213595499958
113,1,8,0
114,1,2,0.707106781186547
115,1,14,0.267261241912424
116,1,6,-0.816496580927726
117,1,2,-0.707106781186547
118,1,3,0.577350269189626
119,1,2,0.707106781186547
120,1,13,-0.277350098112615
121,1,4,0
122,1,2,0
123,1,5,0
124,1,6,0.408248290463863
125,1,14,0
126,1,22,0.699298349646402
127,1,18,1.54620682819458
128,1,1,0
129,1,18,0
130,1,3,0
131,1,14,0
132,1,9,0
133,1,9,0
134,1,3,0.577350269189626
135,1,9,0.333333333333333
136,1,7,0.755928946018454
137,1,2,0
138,1,17,0
139,1,13,-0.554700196225229
140,1,10,0.316227766016838
141,1,8,0.353553390593274
142,1,13,0
143,1,16,0.5
144,1,1,0
145,1,11,0
146,1,22,0
147,1,7,0
148,1,4,0
149,1,6,0
150,1,3,0.577350269189626
151,1,13,0.909708321809376
152,1,16,0.5
153,1,24,0
154,1,10,0
155,1,18,0
156,1,9,0
157,1,5,-0.447213595499958
158,1,1,0
159,1,2,0
160,1,1,0
161,1,20,0.491934955049954
162,1,10,-0.316227766016838
163,1,25,-0.896
164,1,4,0.5
165,1,20,0
166,1,7,0
167,1,2,-0.707106781186547
168,1,9,0
169,1,15,-0.258198889747161
170,1,5,0
171,1,4,-0.5
172,1,7,0
173,1,10,0
174,1,16,0
175,1,4,0
176,1,9,0
177,1,10,0.316227766016838
178,1,9,0.333333333333333
179,1,19,0
180,1,11,0
181,1,5,0.447213595499958
182,1,1,-1
183,1,4,0
184,1,33,-0.174077655955698
185,1,18,0
186,1,9,0.333333333333333
187,1,11,0
188,1,10,0.316227766016838
189,1,5,0.894427190999916
190,1,10,0
191,1,10,0.632455532033676
192,1,2,0
193,1,9,0.333333333333333
194,1,10,0.316227766016838
195,1,17,0
196,1,8,0
197,1,5,0
198,1,9,0.333333333333333
199,1,18,0
200,1,1,0
