"element_id","sentence_id","word_count","sentiment"
1,1,13,0.221880078490092
2,1,18,0
3,1,9,0
4,1,6,-0.244948974278318
5,1,8,-0.282842712474619
6,1,6,0
7,1,7,0.188982236504614
8,1,14,-0.200445931434318
9,1,6,0.32659863237109
10,1,2,0.176776695296637
11,1,2,-0.636396103067893
12,1,2,0
13,1,7,0.188982236504614
14,1,5,0
15,1,7,-0.28347335475692
16,1,4,0.4
17,1,1,0
18,1,1,-0.75
19,1,1,0.8
19,2,NA,0
20,1,2,0.282842712474619
21,1,2,0
22,1,1,0
23,1,3,0
24,1,2,0
25,1,8,0
26,1,8,-0.176776695296637
27,1,5,-0.335410196624968
28,1,8,-0.176776695296637
29,1,8,0
30,1,15,0.64033324657296
31,1,2,0
32,1,7,0
33,1,2,0
34,1,11,-0.226133508433323
35,1,3,0.144337567297406
36,1,10,0.237170824512628
37,1,5,-0.223606797749979
38,1,13,-0.346687622640768
39,1,3,0
40,1,3,0
41,1,2,0
42,1,8,-0.282842712474619
43,1,2,-0.530330085889911
43,2,NA,0
44,1,11,-0.0452267016866646
45,1,6,0
46,1,6,0
47,1,21,0
48,1,19,-0.0573539334676404
49,1,27,0.173205080756888
50,1,5,0
51,1,14,-0.0668153104781061
52,1,9,-0.25
53,1,9,0
54,1,28,0
55,1,27,0
56,1,8,0
57,1,13,0
58,1,36,0.216666666666667
59,1,18,0
60,1,8,-0.212132034355964
61,1,16,0.15
62,1,4,-0.25
63,1,3,0
64,1,19,0.183532587096449
65,1,15,-0.206559111797729
66,1,19,-0.029824045403173
67,1,1,0
68,1,10,0
69,1,11,0.241209075662211
70,1,9,-0.166666666666667
71,1,11,-0.0753778361444409
72,1,19,-0.796072596530849
73,1,7,0
74,1,26,0.303980009464185
75,1,12,-0.288675134594813
76,1,3,-0.866025403784439
77,1,6,-0.102062072615966
78,1,43,-0.472745568031075
79,1,17,-0.242535625036333
80,1,8,-0.353553390593274
81,1,14,0.0267261241912424
82,1,9,0.0833333333333333
83,1,11,-0.301511344577764
84,1,10,0
85,1,19,-0.573539334676404
85,2,NA,0
86,1,18,0
87,1,9,-0.133333333333333
88,1,14,0
89,1,4,-0.05
90,1,6,0
90,2,NA,0
90,3,NA,0
90,4,6,0
91,1,21,0.261861468283191
92,1,1,-0.5
93,1,11,0
93,2,2,0
94,1,15,0.387298334620742
95,1,12,0
96,1,10,0
97,1,21,0
98,1,1,-0.75
99,1,9,-0.25
100,1,2,0.707106781186547
101,1,1,0.5
102,1,6,0.204124145231932
103,1,3,0.461880215351701
104,1,13,0
105,1,24,0.283732561872385
106,1,2,0.636396103067893
107,1,3,0
108,1,6,0.32659863237109
109,1,6,0
110,1,9,0.266666666666667
111,1,10,-0.0790569415042095
112,1,5,0.715541752799933
113,1,8,0.212132034355964
114,1,2,0.530330085889911
115,1,14,0.293987366103667
116,1,6,-0.367423461417477
117,1,2,0
118,1,3,0.433012701892219
119,1,2,0.530330085889911
120,1,13,-0.277350098112615
121,1,4,0.125
122,1,2,0.353553390593274
123,1,5,0.581377674149945
124,1,6,0.530722777603022
125,1,14,0
126,1,22,0.545793833870363
127,1,18,0.527973063285956
128,1,1,0.6
129,1,18,0.341768277573498
130,1,3,0
131,1,14,0.331403939971406
132,1,9,0.333333333333333
133,1,9,0
134,1,3,0.433012701892219
135,1,9,0.613333333333333
136,1,7,0.566946709513841
137,1,2,0.353553390593274
138,1,17,0.315296312547233
139,1,13,-0.0416025147168922
140,1,10,0.237170824512628
141,1,8,0.0883883476483184
142,1,13,0.240739885161749
143,1,16,0.35
144,1,1,0.6
145,1,11,0.150755672288882
146,1,22,0
147,1,7,0
148,1,4,0.72
149,1,6,0.32659863237109
150,1,3,0.433012701892219
151,1,13,0.510324180527211
152,1,16,0.075
153,1,24,-0.153093108923949
154,1,10,-0.126491106406735
155,1,18,0.235702260395516
156,1,9,0
157,1,5,0.0223606797749979
158,1,1,-0.5
159,1,2,0
160,1,1,-0.5
161,1,20,0.346590536512467
162,1,10,-0.237170824512628
163,1,25,-0.398
164,1,4,0
165,1,20,0
166,1,7,0.0944911182523068
167,1,2,-0.530330085889911
168,1,9,0.2
169,1,15,-0.129099444873581
170,1,5,-0.447213595499958
171,1,4,0.025
172,1,7,0
173,1,10,0
174,1,16,0
175,1,4,0
176,1,9,0.266666666666667
177,1,10,0.189736659610103
178,1,9,0.333333333333333
179,1,19,-0.114707866935281
180,1,11,0.241209075662211
181,1,5,0.268328157299975
182,1,1,-0.5
183,1,4,-0.125
184,1,33,-0.0992242638947478
185,1,18,0.282842712474619
186,1,9,0
187,1,11,0
188,1,10,-0.126491106406735
189,1,5,0.335410196624968
190,1,10,0.25298221281347
191,1,10,0.25298221281347
192,1,2,0
193,1,9,0.25
194,1,10,0.25298221281347
195,1,17,0.0970142500145332
196,1,8,0.353553390593274
197,1,5,0.111803398874989
198,1,9,1.06333333333333
199,1,18,0.480832611206852
200,1,1,0
