"element_id","sentence_id","word_count","sentiment"
1,1,13,0.0924500327042049
2,1,18,0.0294627825494395
3,1,9,0.127777777777778
4,1,6,0.0204124145231932
5,1,8,0
6,1,6,-0.0680413817439772
7,1,7,0.114176767888204
8,1,14,-0.43429951810769
9,1,6,0.280670699693906
10,1,2,0
11,1,2,0
12,1,2,-0.198873782208716
13,1,7,0.14173667737846
14,1,5,-0.111803398874989
15,1,7,-0.14173667737846
16,1,4,0.09375
17,1,1,0
18,1,1,0.625
19,1,1,0.416666666666667
19,2,NA,0
20,1,2,0.110485434560398
21,1,2,0
22,1,1,0.625
23,1,3,0
24,1,2,0
25,1,8,-0.132582521472478
26,1,8,0.058925565098879
27,1,5,0
28,1,8,-0.287262129857035
29,1,8,-0.0441941738241592
30,1,15,-0.4002082791081
31,1,2,0
32,1,7,0.0236227795630767
33,1,2,0
34,1,11,-0.251259453814803
35,1,3,0.108253175473055
36,1,10,0.144278918245182
37,1,5,0.0698771242968684
38,1,13,-0.028890635220064
39,1,3,0.259807621135332
40,1,3,0
41,1,2,0
42,1,8,-0.0147313912747197
43,1,2,0
43,2,NA,0
44,1,11,-0.0251259453814803
45,1,6,0.0425258635899857
46,1,6,0
47,1,21,0.108017855666816
48,1,19,0.0542814013175883
49,1,27,-0.0203997095113668
50,1,5,-0.223606797749979
51,1,14,-0.0890870806374748
52,1,9,0.270833333333333
53,1,9,0.149305555555556
54,1,28,0.14370524234205
55,1,27,-0.128700997506854
56,1,8,0.176776695296637
57,1,13,-0.147342239622326
58,1,36,0.159722222222222
59,1,18,0.127672057714238
60,1,8,-0.0736569563735987
61,1,16,-0.140625
62,1,4,0
63,1,3,0
64,1,19,0.248533711693109
65,1,15,0.137168160178179
66,1,19,-0.0693026696067322
67,1,1,0
68,1,10,0.0131761569173682
69,1,11,0.188444590361102
70,1,9,0.336111111111111
71,1,11,0.0314074317268504
72,1,19,-0.340682364797784
73,1,7,0.106302508033845
74,1,26,-0.188353204788964
75,1,12,-0.120281306081172
76,1,3,0
77,1,6,0.0255155181539914
78,1,43,-0.0191894034335194
79,1,17,0.242535625036333
80,1,8,-0.0883883476483184
81,1,14,0
82,1,9,0.03125
83,1,11,-0.113066754216661
84,1,10,-0.158113883008419
85,1,19,-0.108016574697389
85,2,NA,0
86,1,18,0.0692375389911828
87,1,9,-0.118055555555556
88,1,14,-0.0267261241912424
89,1,4,0.25
90,1,6,0.187113799795937
90,2,NA,0
90,3,NA,0
90,4,6,0.102062072615966
91,1,21,0.0436435780471985
92,1,1,0
93,1,11,-0.0502518907629606
93,2,2,0
94,1,15,0.0322748612183951
95,1,12,0.0721687836487032
96,1,10,-0.158113883008419
97,1,21,0.325508352935355
98,1,1,-0.5
99,1,9,-0.0104166666666667
100,1,2,-0.110485434560398
101,1,1,0
102,1,6,0.0765465544619743
103,1,3,0.0721687836487032
104,1,13,-0.173343811320384
105,1,24,0.0765465544619743
106,1,2,0
107,1,3,0.120281306081172
108,1,6,0.136082763487954
109,1,6,0.0646393126567783
110,1,9,0.0416666666666667
111,1,10,0
112,1,5,0.149071198499986
113,1,8,0
114,1,2,0.265165042944955
115,1,14,0.0167038276195265
116,1,6,0
117,1,2,-0.0883883476483184
118,1,3,0.21650635094611
119,1,2,0.265165042944955
120,1,13,-0.265793844024589
121,1,4,-0.0625
122,1,2,0.397747564417433
123,1,5,0.149071198499986
124,1,6,0.11907241805196
125,1,14,0.0579066024143586
126,1,22,0.402949353912104
127,1,18,0.729891333024781
128,1,1,0
129,1,18,0.213943013390003
130,1,3,0
131,1,14,0.215145299739502
132,1,9,0.0416666666666667
133,1,9,0.413333333333333
134,1,3,0.21650635094611
135,1,9,0
136,1,7,0.28347335475692
137,1,2,0.265165042944955
138,1,17,-0.0515388203202208
139,1,13,0.300462606288666
140,1,10,-0.14704591119783
141,1,8,0.0883883476483184
142,1,13,0.257935591244732
143,1,16,0.25
144,1,1,0
145,1,11,0.12814232144555
146,1,22,-0.00044416815907419
147,1,7,-0.0236227795630767
148,1,4,0.3
149,1,6,0.204124145231932
150,1,3,0.21650635094611
151,1,13,-0.10816653826392
152,1,16,0.215625
153,1,24,0.0323196563283892
154,1,10,0.0658807845868412
155,1,18,0.0883883476483184
156,1,9,-0.125
157,1,5,-0.074535599249993
158,1,1,0
159,1,2,0
160,1,1,0
161,1,20,0.269446191288725
162,1,10,-0.0197642353760524
163,1,25,-0.189666666666667
164,1,4,0.0625
165,1,20,0.139754248593737
166,1,7,-0.0472455591261534
167,1,2,-0.441941738241592
168,1,9,-0.159722222222222
169,1,15,0
170,1,5,0
171,1,4,-0.0833333333333333
172,1,7,0.0708683386892301
173,1,10,-0.105409255338946
174,1,16,0.0625
175,1,4,0.0166666666666667
176,1,9,-0.00646666666666666
177,1,10,-0.0395284707521047
178,1,9,0
179,1,19,-0.217944947177034
180,1,11,-0.0125629726907401
181,1,5,0
182,1,1,0
183,1,4,-0.046875
184,1,33,0.0114601123504168
185,1,18,-0.00982092751647983
186,1,9,0.333333333333333
187,1,11,-0.0314074317268504
188,1,10,0
189,1,5,-0.0885110241093667
190,1,10,0
191,1,10,0.174584079155129
192,1,2,0
193,1,9,0.0166666666666667
194,1,10,0.0790569415042095
195,1,17,0.0252641276079514
196,1,8,-0.265165042944955
197,1,5,0.447213595499958
198,1,9,0.191666666666667
199,1,18,0.327571144755675
200,1,1,0.125
