stopwords
no
to
is
please
cannot
why
cant
am
I
Is
out
There
Your
But
In
It
To
An
No
So
This
Did
At
will
Me
A
The
If
Any
You
Why
us
Do
Does
had
Have
Into
My
I am
Was
Only
Like
For
Ok
Now
Take
With
Go
From
Very
All
At
Due
Has
Got
Can
up
only
etc
even
and
It's
them
just
ever
Than
back
from
also
lot
other
really
More
are
on
make
get
Can't
unable
able
shall
how
whom
where
when
be
would
should
each
go
give
made
try
while
meanwhile
few
were
by
above
know
been
what
gone
which
anyways
we
for
'll
not
very
app
appp
'll
littl
the
you
for.
that
have
but
just
with
get
day
was
now
this
can
all
out
are
http
today
your
too
what
back
from
one
know
will
see
com
about
realli
had
how
some
there
night
amp
make
watch
need
new
they
come
home
when
here
more
much
quot
twitter
morn
last
tomorrow
then
has
been
wait
sleep
again
her
onli
week
tri
whi
tonight
would
she
thing
way
did
say
follow
bit
though
take
gonna
them
over
should
yeah
bed
even
start
tweet
could
school
hour
peopl
show
twitpic
guy
hey
after
him
next.
weekend
play
final
let
were
who
soon
life
girl
and
everyon
year
rain
wanna
movi
first
find
where
call
done
sure
head
our
keep
ani
than
his
leav
lot
talk
alreadi
won
man
readi
someth
made
anoth
live
read
eat
becaus
yet
yay
hous
went
song
befor
sound
thought
mayb
summer
someon
tell
give
guess
babi
check
mean
other
end
game
into
hear
listen
later
while.
actual
same
pic
stuff
birthday
mom
saw
weather
car
two
doe
put
stay
yesterday
world
those
run
also
might
until
gotta
meet
said
around
post
exam
monday
friday
seem
sinc
sunday
job
must
mani
updat
myself
found
haven
video
gone
such
famili
book
most
www
aww
month
their
boy
shop
move
least
dinner
total
woke
may
anyth
lunch
studi
pictur
hair
isn
got
list
far
any
time
think
without
goair
jet Airways
Air india
Indigo
Vistara
Working
says
don’t
always
using
through
latest
asking
plz
please
people
apps
till
useful
once
first
due
exit
itself
spice
details
ticket
still
airport
option
fav
recent
everytime
sucks
never
ever
delhi
lol
before
after
name
own
plzz
jet
airline
india
plz
its
gets
any
don
didn
till
